Discord ID,Post Count,Events Count,Total XP to Remove,Status
322446934633611264,1,12,375,DRY RUN
1032242494659895296,2,11,360,DRY RUN
830005527743561739,2,9,225,DRY RUN
919190484050649108,0,5,175,DRY RUN
919281104781996072,0,5,175,DRY RUN
919267958591750166,0,5,175,DRY RUN
1027537764960440431,0,5,175,DRY RUN
1026128144354263040,0,5,175,DRY RUN
918964000488820736,0,5,175,DRY RUN
918573629774659645,0,5,175,DRY RUN
703194194575097918,0,7,165,DRY RUN
1099059852183081134,1,7,165,DRY RUN
964951542199365642,0,7,165,DRY RUN
1100151777518690417,0,7,165,DRY RUN
914151231004483594,0,5,165,DRY RUN
919183920094937089,0,5,165,DRY RUN
965018529428553768,0,7,160,DRY RUN
1024058383365570660,0,5,160,DRY RUN
1075497803901571182,0,8,155,DRY RUN
1075509623974543442,0,7,155,DRY RUN
1125716588159565916,0,6,150,DRY RUN
1092148008000442420,2,6,150,DRY RUN
1125723103536885780,1,6,150,DRY RUN
919267425277599824,0,4,150,DRY RUN
1159737104679587932,0,4,150,DRY RUN
1027499648505610291,0,4,150,DRY RUN
918551455860940870,0,4,150,DRY RUN
1018798316353486919,0,4,150,DRY RUN
1027446231502442537,0,4,150,DRY RUN
1164232851370279004,0,4,150,DRY RUN
1169339164425207821,0,4,150,DRY RUN
1166369346864549998,0,4,150,DRY RUN
892845257635528735,0,4,150,DRY RUN
1169357917238067280,0,4,150,DRY RUN
1168508625145303181,0,4,150,DRY RUN
1167478162968547498,0,4,150,DRY RUN
1168522449076371527,0,4,150,DRY RUN
914427305206632458,0,4,150,DRY RUN
1166026745921675356,0,4,150,DRY RUN
1166367228086734909,0,4,150,DRY RUN
1164232936648876132,0,4,150,DRY RUN
1166052597543743610,0,4,150,DRY RUN
1027537740079828992,0,4,150,DRY RUN
1169354101730066532,0,4,150,DRY RUN
875627016332910644,0,4,150,DRY RUN
1027426658698932314,0,4,150,DRY RUN
1166057586341183590,0,4,150,DRY RUN
1183535652776726660,0,4,150,DRY RUN
927612234442633357,0,5,140,DRY RUN
1168630483689668658,0,4,140,DRY RUN
1166068806456709191,0,4,130,DRY RUN
1248217420435427341,1,5,125,DRY RUN
1199275264434253846,1,5,125,DRY RUN
1168817468844810245,0,4,125,DRY RUN
1337268754249154572,0,4,125,DRY RUN
1138802686389649418,0,4,125,DRY RUN
1200646016064561222,0,3,110,DRY RUN
1071031195263062037,1,4,100,DRY RUN
899296517263863848,1,4,100,DRY RUN
1303695152958672950,2,4,100,DRY RUN
1021733131662938132,0,4,100,DRY RUN
889955120434008065,0,3,100,DRY RUN
1027165309636984892,0,3,100,DRY RUN
919267406986244177,0,3,100,DRY RUN
1027153998463107152,0,3,100,DRY RUN
1122572649630007357,0,3,100,DRY RUN
1027515783393316884,0,3,100,DRY RUN
1122572705691082772,0,3,100,DRY RUN
1024153428148097116,0,3,100,DRY RUN
1018819098622312488,0,3,100,DRY RUN
1159496294218350743,0,3,100,DRY RUN
1018803812452012072,0,3,100,DRY RUN
1027153991185993768,0,3,100,DRY RUN
1159737000774078574,0,3,100,DRY RUN
1027532388315697172,0,3,100,DRY RUN
1027537762460635176,0,3,100,DRY RUN
1024052849342173234,0,3,100,DRY RUN
921475523140546630,0,3,100,DRY RUN
919281470424616990,0,3,100,DRY RUN
919199547195027476,0,3,100,DRY RUN
890644998666747964,0,3,100,DRY RUN
