Thread Key,Member,Tweet Count,Original Total XP,Tweet IDs (comma-separated),Status
noob2711_2000490717668639218,noob2711,20,88.0,"2000490717668639218, 2000490863911120900, 2000490979678400552, 2000491155088408887, 2000491266635972851, 2000491434177077581, 2000491729196347857, 2000491840496124270, 2000491989964628453, 2000492117362401542, 2000499168385925179, 2000499276133318724, 2000499370207432803, 2000499520271200699, 2000499740367302718, 2000499918411297158, 2000500055963541968, 2000500385941987360, 2000501232138674651, 2000503004311715907",DRY RUN
noob2711_1999122043074208144,noob2711,20,84.0,"1999122043074208144, 1999122248888901674, 1999122499691549031, 1999122690091926002, 1999122867481669885, 1999123070137844080, 1999123258554437771, 1999123823837544637, 1999123961372942810, 1999124080382165429, 1999126891417219483, 1999127168992112856, 1999127419782074402, 1999127596681044446, 1999127723718103108, 1999127837127905479, 1999128009073430665, 1999128161779601721, 1999128307485569100, 1999128771291439107",DRY RUN
noob2711_1999872108210590133,noob2711,20,83.0,"1999872108210590133, 1999872571316248640, 1999872720167924134, 1999872869065789860, 1999873070056743099, 1999873252672553397, 1999873494801363321, 1999873700066374098, 1999873867566010824, 1999874023543713796, 1999874779156013483, 1999874929920291095, 1999875159319331243, 1999875262155206842, 1999876048994079231, 1999876165910360195, 1999876468122566848, 1999876572430610509, 1999877245872288181, 1999877204873015741",DRY RUN
noob2711_1998568788103717023,noob2711,20,82.0,"1998568788103717023, 1998569138869227670, 1998569359929954814, 1998569574065926441, 1998569814873481301, 1998570062144483769, 1998570247767634125, 1998570470053151220, 1998570702186987536, 1998570889265500525, 1998572058087956770, 1998572351588540555, 1998572560259445112, 1998572742426374481, 1998572946240188729, 1998573403167760766, 1998573631497179388, 1998574247640445092, 1998575083154190585, 1998575299949396388",DRY RUN
hamil13_2000446597394489708,hamil13,20,82.0,"2000446597394489708, 2000446602020819100, 2000446604860662180, 2000446607586643968, 2000446611990741112, 2000446614800838954, 2000446617531367845, 2000446620018597895, 2000446622816497979, 2000446625508901266, 2000446628092641470, 2000446630667972916, 2000446633495138359, 2000446636200239254, 2000446638872248512, 2000446643427057835, 2000446646220628232, 2000446649059987767, 2000446651601674564, 2000446654378541524",DRY RUN
noob2711_2000171760269074805,noob2711,19,80.0,"2000171760269074805, 2000171993702821987, 2000172098006974864, 2000172193834320340, 2000172396926660638, 2000172568616292722, 2000172687361233066, 2000173071001604247, 2000173173674025374, 2000175464527364397, 2000186464123101405, 2000186549456249001, 2000186761373479408, 2000186896593621494, 2000187008749367359, 2000187438627705190, 2000187587626258751, 2000188844394881470, 2000188942457704513",DRY RUN
rezamahd3_2000520031633875239,rezamahd3,20,80.0,"2000520031633875239, 2000520035052245236, 2000520037963121057, 2000520041071054901, 2000520043931602995, 2000520046876016920, 2000520049681993895, 2000520052513071464, 2000520055323287773, 2000520058091573616, 2000520060968771743, 2000520063749693875, 2000520066534604923, 2000520069340676224, 2000520072138223710, 2000520075120390653, 2000520077897068792, 2000520080694591799, 2000520083525792022, 2000520086520562081",DRY RUN
sedloe_2000796353979613221,sedloe,19,80.0,"2000796353979613221, 2000796357838430572, 2000796360908624278, 2000796364796805181, 2000796368018006435, 2000796372266835996, 2000796376196903185, 2000796379640422870, 2000796383444644164, 2000796387605385691, 2000796391682216023, 2000796396014981569, 2000796400154788113, 2000796403371749686, 2000796406584631796, 2000796410497917206, 2000796417678565504, 2000796421222695313, 2000796424297177594",DRY RUN
noob2711_2000815712315826666,noob2711,20,79.0,"2000815712315826666, 2000815823817204008, 2000815908475035811, 2000816080718348466, 2000816203913421293, 2000816394443915450, 2000816671938982318, 2000816897198317899, 2000817095832166860, 2000817318356787392, 2000819493610922443, 2000819579107598833, 2000819662574281040, 2000820207376589072, 2000820298720129364, 2000820658272657706, 2000820750689980672, 2000821161748574275, 2000821339557650798, 2000821560379310395",DRY RUN
noob2711_1999478061834846550,noob2711,19,76.0,"1999478061834846550, 1999478538127442444, 1999478834887033316, 1999479098067026218, 1999479412790820882, 1999479762553831857, 1999480022739091963, 1999480295922499897, 1999480648474722682, 1999480908131557538, 1999482600768045261, 1999482926116012486, 1999483740964217227, 1999484034565710259, 1999484309049344206, 1999485253841568189, 1999485515540889980, 1999485742033387763, 1999486060422922348",DRY RUN
hamil13_2000797121864479203,hamil13,19,76.0,"2000797121864479203, 2000797125018575208, 2000797128734691708, 2000797131943346376, 2000797135114227887, 2000797138251612210, 2000797142445936734, 2000797145935540238, 2000797149098082548, 2000797151941796163, 2000797155112714672, 2000797158954697175, 2000797162213662740, 2000797165707518243, 2000797178407870925, 2000797186918113469, 2000797191422767151, 2000797195227029992, 2000797200637731224",DRY RUN
noob2711_1998340397756809276,noob2711,22,69.0,"1998340397756809276, 1998340660550857014, 1998340856756273583, 1998341024314511798, 1998341191151309267, 1998342117970878854, 1998342344962085300, 1998342588336849356, 1998342823033425929, 1998343051450929203, 1998344265760723050, 1998344617071100078, 1998345035386155080, 1998345276059484230, 1998345457269973065, 1998346403580453045, 1998346636234547626, 1998346916413997481, 1998347166922989871, 1998347662140268553, 1998347983424045103, 1998348292246438229",DRY RUN
jarvis779_2000412334502875253,jarvis779,15,63.0,"2000412334502875253, 2000412409681600902, 2000412481412571359, 2000412563260195109, 2000412646357729347, 2000412707355594891, 2000412786292306000, 2000412855984922723, 2000412942857379959, 2000413037392761122, 2000413161707712889, 2000413215512318156, 2000413282235199902, 2000413329425330534, 2000413403790066009",DRY RUN
jarvis779_1999800736142725310,jarvis779,14,58.0,"1999800736142725310, 1999800814609834402, 1999800988874719590, 1999801077848576014, 1999801186736861550, 1999801285932126340, 1999801383965556827, 1999801461593809306, 1999801633212170528, 1999801730813599819, 1999801831623680248, 1999801912494031327, 1999802001828257808, 1999802129188569255",DRY RUN
noob2711_1997997617968742811,noob2711,22,56.0,"1997997617968742811, 1997997983582089565, 1997998148535611766, 1997999502997725465, 1997999703758368911, 1997999946847719730, 1998000142629392587, 1998010106185933130, 1998010421933232230, 1998010586366677320, 1998013347120525671, 1998013522853408881, 1998013877649649932, 1998014259544862780, 1998014526332014614, 1998016033786085882, 1998020440233816334, 1998043199374536981, 1998044512850243962, 1998044750503666045, 1998045182042743091, 1998045317862973472",DRY RUN
hossein7491_1998370621680746963,hossein7491,13,54.0,"1998370621680746963, 1998370624402866559, 1998370627162608125, 1998370629809213921, 1998370632460087321, 1998370636201374120, 1998370638743134518, 1998370641440125181, 1998370645080727933, 1998370647819559321, 1998370650684301447, 1998370653410607465, 1998370655948173456",DRY RUN
hossein7491_1999571489998229987,hossein7491,10,46.0,"1999571489998229987, 1999571492279902478, 1999571494762950942, 1999571498135171442, 1999571501700264297, 1999571505546465399, 1999571508998426828, 1999571511548477509, 1999571513813430460, 1999571518892769698",DRY RUN
hossein7491_1999796870928077277,hossein7491,10,46.0,"1999796870928077277, 1999796873822109783, 1999796876363632649, 1999796879216021777, 1999796881996832842, 1999796884861505711, 1999796887675973788, 1999796890104180981, 1999796892872643000, 1999796897259909249",DRY RUN
hossein7491_1998888671165153460,hossein7491,10,45.0,"1998888671165153460, 1998888674071818432, 1998888676777238804, 1998888679474090479, 1998888682330402923, 1998888685866230039, 1998888688848351431, 1998888692396728684, 1998888697962574200, 1998888700768661686",DRY RUN
hossein7491_1999116250912375077,hossein7491,10,45.0,"1999116250912375077, 1999116253668028569, 1999116256138363384, 1999116259116319176, 1999116262153081117, 1999116265995014309, 1999116269044301900, 1999116271573471671, 1999116274647921013, 1999116277126672506",DRY RUN
hdm368358_1999192206582612170,hdm368358,10,45.0,"1999192206582612170, 1999192208835027002, 1999192211284521080, 1999192213536837754, 1999192216141496772, 1999192218775478361, 1999192221120131239, 1999192224702042606, 1999192227105460290, 1999192232474087461",DRY RUN
hossein7491_1998704138956242944,hossein7491,10,44.0,"1998704138956242944, 1998704142357791089, 1998704145381855560, 1998704148280229912, 1998704151287488829, 1998704154714288177, 1998704157666992494, 1998704160884060227, 1998704167867613663, 1998704172959514652",DRY RUN
krnmuratcryptt_2000166105864696037,krnmuratcryptt,17,44.0,"2000166105864696037, 2000166108532494773, 2000166111891894297, 2000166114501005761, 2000166116967202921, 2000166119492210822, 2000166122658963469, 2000166125162860726, 2000166128178585808, 2000166133647941888, 2000166160827105665, 2000166158218215761, 2000166154711753056, 2000166151821623512, 2000166149271773254, 2000166146532868278, 2000166143852495109",DRY RUN
noob2711_1997571774553473188,noob2711,12,42.0,"1997571774553473188, 1997572128661733529, 1997572441988792506, 1997572806553600016, 1997576497083850907, 1997576918573707550, 1997577176783417752, 1997577464621695013, 1997615814548361381, 1997616302035501375, 1997616715602047390, 1997617050626216136",DRY RUN
jarvis779_1998593523042619455,jarvis779,10,42.0,"1998593523042619455, 1998593623311708428, 1998593707810152491, 1998593779176177703, 1998593848382206315, 1998593920125849623, 1998594003609219322, 1998594065211035757, 1998594126074491084, 1998594203421732964",DRY RUN
jarvis779_1997902124508950540,jarvis779,10,41.0,"1997902124508950540, 1997902220902219888, 1997902296542568803, 1997902398430629976, 1997902494081630310, 1997902660146806822, 1997902746276573526, 1997902855282508009, 1997902940334702756, 1997903029245517950",DRY RUN
jarvis779_1998230837482209617,jarvis779,10,40.0,"1998230837482209617, 1998230936090210713, 1998231025521160366, 1998231140348649823, 1998231216915620303, 1998231304262062500, 1998231383437705333, 1998231470591349137, 1998231611570258158, 1998231739895071217",DRY RUN
jarvis779_1999389114211430810,jarvis779,10,40.0,"1999389114211430810, 1999389206523838626, 1999389297234129121, 1999389387575165265, 1999389467413483756, 1999389555188019561, 1999391480226677121, 1999391581174972657, 1999391664654417989, 1999391842992087208",DRY RUN
zlyhkrn_2000154387872956502,zlyhkrn,10,40.0,"2000154387872956502, 2000154390637027457, 2000154393396892070, 2000154396626452672, 2000154399570809252, 2000154402368397603, 2000154405153509593, 2000154408248832286, 2000154411084181509, 2000154414217343239",DRY RUN
jarvis779_1998967776237728199,jarvis779,10,38.0,"1998967776237728199, 1998967844978176279, 1998968073190256719, 1998968175283810488, 1998968242778550761, 1998968388769689749, 1998968476317397054, 1998968545955176509, 1998968650116846011, 1998968727291801747",DRY RUN
jarvis779_2000133967874507046,jarvis779,15,38.0,"2000133967874507046, 2000134070324601289, 2000134223085117634, 2000134292605939963, 2000134388059894145, 2000134479751663890, 2000134578120569000, 2000134670554661129, 2000134760556015690, 2000134843234144710, 2000134899102359883, 2000134974280769840, 2000135029029265826, 2000135107378860240, 2000135183576846545",DRY RUN
jarvis779_2000781540125536460,jarvis779,10,38.0,"2000781540125536460, 2000781701237367088, 2000781753833939048, 2000781811044245925, 2000781911342637231, 2000781988136149352, 2000782079924273549, 2000782165399744514, 2000782231602696578, 2000782283792638230",DRY RUN
hossein7491_1998367091326685262,hossein7491,8,35.0,"1998367091326685262, 1998367094031925711, 1998367096728924634, 1998367102349271040, 1998367105046270107, 1998367107592163581, 1998367110188474554, 1998367114378568009",DRY RUN
