Discord Username,Twitter Handle,Total XP
jimmy9177,Cryptogang88,1014.5
jes6069,jesriley12,1011.5
linaa8915,Linaa414,865
nikolass3046,Nikolas02311832,854.5
alphatrader_,onetrader01,846
noraa3007,Noraa525,839.5
hdm368358,DaraeiHossein,803
hossein7491,Richard_Enzo96,693
alfredone,Juuaan888,640
jarvis779,Magnonk909,565
taiwo6006,TaiwoOluwapelu9,447.5
.vladkor89,Vladkor55,332
garry2224,enthusiast_96,317
chiefdahunsi,dahunsitemitope,299.5
space_traveler7,spacetraveler23,281
light_of_night8,light_of_night8,255
hmd7ai,CoreySnuff,255
sarahst,Sarahst264,251
freeman0463,Freeman17190141,242
crypto_leopard,Kavun76718255,238
sadheeyq001,Sadheeyq,225.5
cal1graphy,lola_trillions,215.5
noob2711,LAChroniclesRPG,214
ehsan289,toktiol,198
behzad0052,behzad50735276,184
leila.sh,Sev5ca,179.5
saeed6538,Madridd1902,177
rexa302,Rexa302,149
gorbako,WIXgjMd211o7Bsj,144
avinsmith#8313,tranaiht,143.5
ihor0732,IGORmetas,141
isaiaho123,imose_eth,139.5
misha1985,Misha85A,127
jamesy4973,James30470897,105
Ola debby,ola__debby,100.5
oxvalox,oxvalox,95.5
,Robinlight32,92.5
bodmatrix_analyst_83514,OnoriemuB,76
lakey17,lakey_eth,72.5
0xberuangmadu,0xberuangmadu,71.5
0xdebby_,Deborahbams,66
Billx,bicevipri,58
dhextiny,Bams_Dhextiny,56.5
,0xpatrikk,55.5
,westt121,55.5
plebeybob,plebeybobs,53.5
gratified468,prove_nuel,52
.avinss ,papalalas,51.5
.me2022,mehdiss666,48.5
,hatem_0xal,46
qtien224,Tieen111,45
masteel_theotherdao#0,softflood,45
bobby3410,IChristiantus3,40
sunnysky0895_24342,Oliver13158,38
2_thetcs,theTCS_,37.5
yurnalis_cryptosiast,yurnaliis,37.5
meison7554,meison_mswen,36
,0xzerogang,35
frankrx15.crypto,cbfrank110,34.5
,Arcano5609,31
0xihor,0xIhor,28.5
qprecious296,rovendisc,26
graceatwork,Graceland002,25
flora7808,StephanyAyuba,19
dualupa.,BrandyNotForKid,18.5
heisfrancis,heisfranciss,18.5
bashir6621,Y22148383Mahmud,17
crypto_juli,Ju1i_crypto,16.5
,freeworldlead,16.5
pandatel25,panda48084502,15.5
james_mr,Just_marhk,15
spradith6057,greent2525,14.5
danniufot,professor_slax,14
,0xEngr_gudbee,14
dekunft#0,0x__Deku,13
vva2123,golftel,12.5
,krypto_jo,12
dejavu9580,hunter_cuan_dll,11.5
bilbul8486#0,SamariaGotSwagg,11
,NarokaIbra88707,10.5
loveeat.bnb,Cipher_passage,9.5
reloolooza,ShahFilsoof,9.5
chiilll_guy,irghiprata68915,9.5
finkded,finkded,9
otong001,OtongClint56732,8
oxamire,Oxamire,6.5
hash0x,hashcoin0,6
hehe_ben#6627,hehe_kev,4
doyla_,cocavui,4
,aput20353,4
elowna.,xcaptiv,3.5
kolofah,alphagODandKING,3
parkeyzzzawesome,ysfsosyolog,3
kolofah,alphagodandking,3
longjuanfeng6642,chumito01800,2.5
elireax,mzellexfoufoune,2
godofnothing8334#0,godofnothingg,2
artworia.,hamadalsewedi,1
