username,user_id,score,total,required_score,result
crypto_dave_3rd,1152387252232663091,0,3,2,failed
crypto_dave_3rd,1152387252232663091,1,3,2,failed
crypto_dave_3rd,1152387252232663091,0,3,2,failed
crypto_dave_3rd,1152387252232663091,0,3,2,failed
crypto_dave_3rd,1152387252232663091,0,25,25,failed
crypto_dave_3rd,1152387252232663091,0,25,25,failed
crypto_dave_3rd,1152387252232663091,24,25,25,failed
crypto_dave_3rd,1152387252232663091,4,4,4,passed
crypto_dave_3rd,1152387252232663091,1,3,2,failed
crypto_dave_3rd,1152387252232663091,1,3,2,failed
crypto_dave_3rd,1152387252232663091,4,4,4,passed
crypto_dave_3rd,1152387252232663091,4,4,4,passed
chiefdahunsi,830005527743561739,2,3,2,passed
oxvalox,1004445577989341204,1,3,2,failed
hdm368358,998684964252024992,1,3,2,failed
hmd7ai,876022729386647563,1,3,2,failed
jarvis779,839509069769342998,3,3,2,passed
noob2711,1082540310804054016,3,3,2,passed
taiwo6006,1032264148412796968,3,3,2,passed
noob2711,1082540310804054016,3,3,2,passed
jarvis779,839509069769342998,3,3,2,passed
jaysking9,885636820107403384,1,3,2,failed
hmd7ai,876022729386647563,3,3,2,passed
taiwo6006,1032264148412796968,3,3,2,passed
oxvalox,1004445577989341204,2,3,2,passed
rexa302,894183226833260554,3,3,2,passed
jarvis779,839509069769342998,3,3,2,passed
taiwo6006,1032264148412796968,3,3,2,passed
oxvalox,1004445577989341204,2,3,2,passed
noob2711,1082540310804054016,3,3,2,passed
hmd7ai,876022729386647563,3,3,2,passed
rexa302,894183226833260554,3,3,2,passed
loveeat.bnb,709645462574989362,2,3,2,passed
jarvis779,839509069769342998,3,3,2,passed
rexa302,894183226833260554,3,3,2,passed
hmd7ai,876022729386647563,3,3,2,passed
taiwo6006,1032264148412796968,3,3,2,passed
oxvalox,1004445577989341204,2,3,2,passed
pva721991,1032274397152682024,1,3,2,failed
abbagigo,1062663196210630668,0,3,2,failed
webfun0,1362027266288255170,0,25,25,failed
mrcarter2020,1002225538510893076,3,3,2,passed
klaxsiix,894117027172712498,1,3,2,failed
mirage332,968062133214543944,0,3,2,failed
avinsmith,898575806614368268,2,3,2,passed
papalalas,1082199336638746644,2,3,2,passed
truonggiang0603,1252633299298549805,3,3,2,passed
dpfvm_elf,758639633332174869,2,3,2,passed
kakao_s_molokom.,1031482255169830962,0,3,2,failed
novasko,350776853948006411,3,3,2,passed
phongt15,1003195889881448453,2,3,2,passed
noob2711,1082540310804054016,3,3,2,passed
hdm368358,998684964252024992,2,3,2,passed
hossein7491,998688543515869244,2,3,2,passed
madebilly,759029887004049459,1,3,2,failed
harfian,881522928087339049,18,25,25,failed
tbapb6011,579638378740318242,1,3,2,failed
sandock,843065921344897064,2,3,2,passed
harfian,881522928087339049,22,29,29,failed
grandmagus7472,964130652087803974,2,3,2,passed
harfian,881522928087339049,7,30,30,failed
bobby3410,968097129967013930,0,3,2,failed
michaellau,913084743220887593,3,3,2,passed
ember0574,1154114816085078207,2,3,2,passed
valtair_adanaan,1075497803901571182,0,3,2,failed
gesoos,663741135482519573,3,3,2,passed
syahril01,650230602896900118,1,3,2,failed
chiefdahunsi,830005527743561739,3,3,2,passed
bogieman__,917868528630112266,2,3,2,passed
gorbako,939990645840425032,1,3,2,failed
factsparade,930464061341179944,1,3,2,failed
medvejon0k,818833786791919656,2,3,2,passed
s_tranik,878851522547580928,2,3,2,passed
chingevm,1033026644673298526,1,3,2,failed
0xleon,367956381002760193,3,3,2,passed
mack_12,872841489334542437,3,3,2,passed
chiefdahunsi,830005527743561739,3,3,2,passed
avinsmith,898575806614368268,2,3,2,passed
papalalas,1082199336638746644,3,3,2,passed
weeklang,375327885776650240,1,3,2,failed
lyhuysang54119,1304577252171845675,1,3,2,failed
oxvalox,1004445577989341204,2,3,2,passed
tee_concepts,903900333128949803,2,3,2,passed
agnes1891,1032583700266897422,1,3,2,failed
valtair_adanaan,1075497803901571182,1,3,2,failed
dejavu9580,875423052937166888,0,3,2,failed
valtair_adanaan,1075497803901571182,0,26,26,failed
valtair_adanaan,1075497803901571182,0,26,26,failed
valtair_adanaan,1075497803901571182,1,26,26,failed
michaellau,913084743220887593,3,3,2,passed
behzadmori,838762057285107773,1,3,2,failed
taiwo6006,1032264148412796968,3,3,2,passed
mrcarter2020,1002225538510893076,3,3,2,passed
klaxsiix,894117027172712498,2,3,2,passed
kay09491,1202060210491891864,3,3,2,passed
hmd7ai,876022729386647563,3,3,2,passed
sorokavorofka,1038454276931989625,2,3,2,passed
oxamire,1092071428318302298,2,3,2,passed
oxtenebris,1075509623974543442,2,3,2,passed
.mrjudge,703194194575097918,2,3,2,passed
oxtrion,1099059852183081134,2,3,2,passed
medvejon0k,818833786791919656,2,3,2,passed
0x1,161563361597849600,1,3,2,failed
s_tranik,878851522547580928,2,3,2,passed
.samanee,965018529428553768,1,3,2,failed
ftm0302,964951542199365642,2,3,2,passed
morphine96,1100151777518690417,2,3,2,passed
